alpha,gap,objective_value,testing_accuracy,testing_instances,training_accuracy,training_instances,number_of_classes,number of features,baseline_accuracy
0,0.33499397348332366,277.82934591149024,0.676923076923077,156,0.7249466950959488,469,3,4,0.46439232409381664
2,0.0,271.95517893733324,0.6564102564102564,156,0.7339019189765459,469,3,4,0.46950959488272925
4,0.0,284.1185938170938,0.6730769230769231,156,0.7142857142857143,469,3,4,0.46823027718550103
5,0.0,288.24745713455394,0.6730769230769231,156,0.7292110874200426,469,3,4,0.46481876332622607
7,0.08320805426965486,292.74345247278336,0.6820512820512821,156,0.7219616204690832,469,3,4,0.470362473347548
