alpha,gap,objective_value,testing_accuracy,testing_instances,training_accuracy,training_instances,number_of_classes,number of features,baseline_accuracy
0,0.0,9.321960551520473,0.784,25,0.8906666666666666,75,2,12,0.8826666666666666
1,0.0,9.518170248868776,0.8560000000000001,25,0.8879999999999999,75,2,12,0.8879999999999999
2,0.0,10.52867203856284,0.8880000000000001,25,0.8773333333333333,75,2,12,0.8773333333333333
4,0.0,9.493994000807756,0.8560000000000001,25,0.8879999999999999,75,2,12,0.8879999999999999
5,0.0,11.56343656343656,0.9199999999999999,25,0.8666666666666668,75,2,12,0.8666666666666668
7,0.0,10.25860628342246,0.8800000000000001,25,0.8800000000000001,75,2,12,0.8800000000000001
