,alpha,gap,objective_value,testing_accuracy,testing_instances,training_accuracy,training_instances,number_of_classes,number of features,baseline_accuracy,training_time_sec
,2.62887377173091,0,10.0398675945474,0.936842105263158,38,0.975675675675676,74,3,4,0.37027027027027,4.061572
,3.96428571428571,0,14.9071825396825,0.889473684210526,38,0.951351351351351,74,3,4,0.402702702702703,6.0551634
,7.44314868804665,0,23.1717674615634,0.926315789473684,38,0.959459459459459,74,3,4,0.364864864864865,4.5603472
,26.0510204081633,0,60.9859561602419,0.926315789473684,38,0.945945945945946,74,3,4,0.381081081081081,2.7716056
,15.7732426303855,0,39.9450326286236,0.968421052631579,38,0.956756756756757,74,3,4,0.381081081081081,3.5709924
average,11.1721142425224,0,29.8099612769318,0.929473684210526,38,0.957837837837838,74,3,4,0.38,4.20393612
