,alpha,gap,objective_value,testing_accuracy,testing_instances,training_accuracy,training_instances,number_of_classes,number of features,baseline_accuracy,training_time_sec
,1.94363459669582,0,8.79803318370464,0.912,25,0.864,50,2,9,0.848,5.648293
,0,0,6.03529624091167,0.832,25,0.896,50,2,9,0.864,10.975263
,0.456810631229236,0,5.49067546890407,0.8,25,0.908,50,2,9,0.896,4.6578486
,0,0,5.96382428940568,0.824,25,0.896,50,2,9,0.876,10.6933302
,2.1379980563654,0,6.82992717876439,0.92,25,0.88,50,2,9,0.88,2.7008616
average,0.907688656858092,0,6.62355127233809,0.8576,25,0.8888,50,2,9,0.8728,6.93511928
