alpha,gap,objective_value,testing_accuracy,testing_instances,training_accuracy,training_instances,number_of_classes,number of features,baseline_accuracy,training_time_sec
16.28,0,38.4049749484232,0.842105263157895,38,0.945945945945946,74,3,4,0.367567567567567,2.0658192
23.569970845481,0,52.094357645378,0.915789473684211,38,0.975675675675676,74,3,4,0.362162162162162,2.6711176
17.425431711146,0,40.1993582225109,0.768421052631579,38,0.972972972972973,74,3,4,0.378378378378378,3.0302742
13.1443688586546,0,32.2117495203209,0.926315789473684,38,0.959459459459459,74,3,4,0.372972972972973,2.2966606
2.78806907378336,0,11.620876642788,0.947368421052632,38,0.948648648648649,74,3,4,0.364864864864865,3.9258386
,,,,,,,,,,
average,,34.9062633958842,0.88,38,0.960540540540541,74,3,4,0.369189189189189,2.79794204
